Total followers on 6/15/2026,4070

Date,New followers
5/1/2026,0
5/2/2026,0
5/3/2026,0
5/4/2026,0
5/5/2026,1
5/6/2026,8
5/7/2026,8
5/8/2026,10
5/9/2026,6
5/10/2026,2
5/11/2026,7
5/12/2026,8
5/13/2026,2
5/14/2026,9
5/15/2026,5
5/16/2026,0
5/17/2026,1
5/18/2026,4
5/19/2026,3
5/20/2026,4
5/21/2026,5
5/22/2026,0
5/23/2026,4
5/24/2026,3
5/25/2026,1
5/26/2026,4
5/27/2026,3
5/28/2026,4
5/29/2026,1
5/30/2026,0
5/31/2026,0
6/1/2026,2
6/2/2026,2
6/3/2026,2
6/4/2026,5
6/5/2026,4
6/6/2026,3
6/7/2026,1
6/8/2026,2
6/9/2026,0
6/10/2026,2
6/11/2026,3
6/12/2026,4
6/13/2026,0
6/14/2026,1
6/15/2026,0
