Maximum of 50 posts available to include in this list

Post URL,Post Publish Date,Engagements,,Post URL,Post Publish Date,Impressions
https://www.linkedin.com/posts/cathal-quinlan_new-episode-out-now-we-unpack-the-biggest-share-7447886154223280128-1Rzw,4/9/2026,2,,https://www.linkedin.com/posts/cathal-quinlan_hi-everyone-hope-you-are-all-enjoying-share-7152441331334725632-RDhD,1/14/2024,55
https://www.linkedin.com/posts/cathal-quinlan_or-is-it-easter-monday-scaries-weve-ugcPost-7446869524563435520-_jnF,4/6/2026,2,,https://www.linkedin.com/posts/cathal-quinlan_the-me-we-ways-framework-every-workplace-ugcPost-7432389249179570176-Iiz2,2/25/2026,49
https://www.linkedin.com/posts/cathal-quinlan_the-me-we-ways-framework-every-workplace-ugcPost-7432389249179570176-Iiz2,2/25/2026,1,,https://www.linkedin.com/posts/cathal-quinlan_new-episode-out-now-we-unpack-the-biggest-share-7447886154223280128-1Rzw,4/9/2026,39
https://www.linkedin.com/posts/cathal-quinlan_your-team-might-not-actually-feel-like-a-ugcPost-7436697558103543808-dJ9f,3/9/2026,1,,https://www.linkedin.com/posts/cathal-quinlan_or-is-it-easter-monday-scaries-weve-ugcPost-7446869524563435520-_jnF,4/6/2026,38
https://www.linkedin.com/posts/cathal-quinlan_new-episode-tomorrow-colin-fisher-on-the-ugcPost-7434925968223444992-iRsY,3/4/2026,1,,https://www.linkedin.com/posts/cathal-quinlan_your-team-might-not-actually-feel-like-a-ugcPost-7436697558103543808-dJ9f,3/9/2026,37
https://www.linkedin.com/posts/cathal-quinlan_ive-burned-out-twice-in-my-career-the-share-7346584067397591040-XczE,7/3/2025,1,,https://www.linkedin.com/posts/cathal-quinlan_we-are-live-brand-new-episode-with-louise-share-7402260888625491968-3Kb7,12/4/2025,31
https://www.linkedin.com/posts/cathal-quinlan_no-episode-this-week-i-spent-two-days-this-share-7445533936430153728-7Tes,4/2/2026,1,,https://www.linkedin.com/posts/cathal-quinlan_were-back-first-listener-qa-episode-of-share-7419997387630239744-crHa,1/22/2026,29
https://www.linkedin.com/posts/cathal-quinlan_you-know-that-thing-at-work-you-keep-overthinking-ugcPost-7439585919122382848-5amq,3/17/2026,1,,https://www.linkedin.com/posts/cathal-quinlan_when-a-misson-statement-is-actually-lived-ugcPost-7379809426607669248-Aeav,10/3/2025,26
https://www.linkedin.com/posts/cathal-quinlan_laura-gassner-otting-calls-them-the-four-ugcPost-7421928828186292224-x7JX,1/27/2026,1,,https://www.linkedin.com/posts/cathal-quinlan_new-episode-tomorrow-colin-fisher-on-the-ugcPost-7434925968223444992-iRsY,3/4/2026,20
,,,,https://www.linkedin.com/posts/cathal-quinlan_framework-tools-strategy-ugcPost-7241982858330812417-UN0q,9/18/2024,18
,,,,https://www.linkedin.com/posts/cathal-quinlan_annette-sloan-and-i-always-try-to-help-people-ugcPost-7303572039922057218-pgpv,3/7/2025,17
,,,,https://www.linkedin.com/posts/cathal-quinlan_tomorrows-guest-spotlight-helen-tupper-ugcPost-7376589966010896385-LYxb,9/24/2025,15
,,,,https://www.linkedin.com/posts/cathal-quinlan_ive-burned-out-twice-in-my-career-the-share-7346584067397591040-XczE,7/3/2025,14
,,,,https://www.linkedin.com/posts/cathal-quinlan_new-episode-colin-fisher-on-why-your-share-7435263684337115136-ZG3S,3/5/2026,14
,,,,https://www.linkedin.com/posts/cathal-quinlan_episode-out-now-how-to-fix-toxic-ugcPost-7326290821186469889-RZeM,5/8/2025,13
,,,,https://www.linkedin.com/posts/cathal-quinlan_well-done-cathal-orourke-innovation-requires-ugcPost-7400100056756019201-y1y2,11/28/2025,13
